id,text,label
65,雨漏りしてしまったので、屋根を点検する,1
66,最近テレビでボルダリングを見て興味があるんだけど、どうやってあんなにすいすいと壁を登っていけるのか意味が分からなかった,0
67,リモートワークになったので、使っていない部屋を仕事部屋にした,1
68,久しぶりに運動すると、ダッシュができなくてちょっとショックだった,0
69,痩せたいなら、プールの中を泳ぐのが良いと思います,0
70,昨日は筋力トレーニングとランニングを頑張ったので、今日はひどい筋肉痛です,0
71,賃貸より持ち家のほうがQOLが上がる気がするんだよね,1
72,家具の色はあまりこだわっていない,1
73,雪で庭が真っ白になった,1
74,大掃除では普段掃除しないところまできれいにします,1
75,野球の守備はまあまあできるのですが、バットに当てるのが苦手なので攻撃が上手くできない,0
76,都内の事故物件を借りている,1
77,祖父と暮らし始めるのでバリアフリーな建物にリフォームしたい,1
78,自転車で隣町に住んでいる友達の家まで遊びに行く,0
79,高校は陸上漬けの毎日だった,0
80,洋服店の隣に住んでいる,1
81,上司は毎朝ジムで筋力トレーニングしてから出社しているようだ,0
82,冬はランニングできないので、筋力トレーニングに専念しています,0
83,ほうきで玄関を簡単に掃除する,1
84,近くの川で泳いで遊ぶ,0
85,お庭でバーベキューするので良かったら来ませんか,1
86,山頂から30分くらいで下山できる,0
87,転勤先でマンスリーマンションを借りる,1
88,彼の特徴は、守備的なポジションであればディフェンダーでもミッドフィルダーでもプレーができる選手であるというところです,0
89,重い家具を引きずったら床に傷がついちゃいました,1
90,陸上競技のなかでは中距離走が最も得意です,0
91,無理やり水泳教室に通わせられたときから、泳ぐのは嫌い,0
92,防音を考えると鉄筋コンクリートがいいと思う,1
93,ダイビングのライセンスを取得する,0
94,健康的にダイエットするためには、運動も大切だと思います,0
95,ベッドが壊れてしまったので、週末に買い替えないといけない,1
96,地震に備えて、本棚を固定しました,1
97,健康維持のために、晴れている日は電車を使わずに自転車で出社しています,0
98,格安な学生寮に住みたい,1
99,お正月にだらだらしていたら3キロも太っちゃったので、最近は頑張ってダイエットをしています,0
100,ゴミ屋敷と化した家を頑張って掃除した,1
101,引っ越したばかりで、近くになにがあるのかまだよく分かっていない,1
102,最近は体を動かしてテレビゲームが増えてきたので、楽しくエクササイズを続けられる環境が整ってきたなと感じます,0
103,我が家は増築を重ねて原型を失った,1
104,ポスターを貼っていたあとがひどく目立っていたので部屋の壁紙を張り替える,1
105,強歩大会に参加する,0
106,子供のころ屋根で寝るのに憧れてやってみた結果、落ちて骨折したことがある,1
107,上り坂が延々と続く山を登るよりは、上り坂と下り坂を繰り返しながら登れる山の方が疲労感が少なくて楽しく登れる,0
108,日曜日は風呂を掃除する日だと決めている,1
109,駅近物件を借りたい,1
110,この前の健康診断で太りすぎとの診断をされたので、今はジムで泳いだり筋肉を鍛えたりしています,0
111,自分で庭に池を作った,1
112,換気のために玄関のドアを開けておく,1
113,暑いので市民プールで泳ぐ,0
114,家の鍵を閉め忘れているような気がする,1
115,柔道とか剣道とかそういった伝統的な武道を一つマスターしてみたいです,0
116,駅チカ南向き風呂トイレ別で家賃6万円台希望です,1
117,数年に一度、煙突を掃除している,1
118,体育の授業で一番好きだったのはバスケットボールでした,0
119,大学では弓道を始めてみようかな,0
120,妻が二世帯住宅に大反対している,1
121,社員寮に住むのはやめておいてほうがいい,1
122,オリンピックで水球を見てやってみたくなったけど、あいにく近所に水球チームがないようです,0
123,昔は100kmを11秒台で走れたことがある,0
124,バレーの練習試合で熱い展開になった,0
125,運動不足を解消したくて最初は走っていたが、つらかったのでいまは歩いている,0
126,ずっと走っていて足を痛めてしまった場合は、無理をするのではなく休むことが大切です,0
127,木製の机を購入する,1
128,庭をあまり手入れしていないので、雑草がたくさん生えている,1
129,数年後にはまた別のところへ引っ越すと思う,1
130,バレーボールでも卓球でもテニスでも、まずは基礎のプレーができるようにならないと話になりません,0
131,大きな板材を買ってきて世界に一つだけの机を作る,1
132,ロフトは夏暑くて冬寒いのでいいことないよ,1
133,障子を張り替える,1
134,これまで色々な運動を試してきましたが、自転車が一番長続きしている,0
135,お父さんが中学生のころ、アメリカにピッチャーでありながらホームランを打っちゃう選手がいたんだよ,0
136,運動不足を解消するために、意識して毎日歩くようにしている,0
137,引っ越しのついでに家具を買い替える,1
138,自宅が遠いと通勤にも一苦労だ,1
139,登山の醍醐味は、リスや鹿などの普段見ないような動物を見て癒された気分になることだと思っています,0
140,オンライン内見だけで賃貸を契約した,1
141,海外に別荘を建てたいな,1
142,最高で1日で100キロ自転車で走ったことがある,0
143,焼肉店の近くには住みたくない,1
144,カーリングのストーンって投げるの結構難しいんだね,0
145,短い距離しか泳げない,0
146,高校の時は運動部に所属しており、毎朝体力作りのために走っていました,0
147,今週末は札幌近郊で山登りをするつもりだ,0
148,備え付けのキッチンが狭すぎて料理ができない,1
149,明治時代に建てられた古い洋館で暮らす,1
150,お風呂はもう少し大きめに設計してもらえませんか,1
151,地震がきても大丈夫なように本棚を固定する,1
152,野球をやるなら左利きが有利だぞ,0
153,雪国に住んでいると、冬の雪かきが大変だなあ,1
154,リフティングは特殊なことをしなければ何回でもできる自信があります,0
155,娘が運動会のかけっこで一位をとった,0
156,体育の授業だと、陸上が一番嫌いでした,0
157,彼の選球眼は卓越している,0
158,彼は侯爵夫人にダンスを申し込んだが、断られてしまったようだ,0
159,白い家具で統一している,1
160,次の日曜日には、札幌近郊の山でも登ろうかと思っている,0
